label,tweet
anger,soal jalan jatibaru polisi tidak bisa gertak gubernur  emangnya polisi tidak ikut pmbhasan  jangan berpolitik  pengaturan wilayah hak gubernur  persoalan tanah abang soal turun temurun pelik perlu kesabaran          
anger,sesama cewek lho  kayaknya   harusnya bisa lebih rasain lah yang harus sibuk jaga diri  rasain sakitnya haid  dan paniknya pulang malem sendirian  gimana orang asing  wajarlah banyak korban yang takut curhat  bukan dibela malah dihujat 
happy,kepingin gudeg mbarek bu hj  amad foto dari google  sengaja  biar teman teman juga membayangkannya  berbagi itu indah 
anger,jln jatibaru bagian dari wilayah tanah abang pengaturan wilayah tanggung jawab dan wewenang gub tng abng soal rumit sejak gub   trdahulu sekarang sedang dibenahi agar bermnfaat semua pihak mohon yang punya otak berpikirlah dengan wajar kecuali otaknya butek ya kamu    
happy,sharing pengalaman saja  kemarin jam   batalin tiket di stasiun pasar senen  lancar  antrian tidak terlalu rame  menitan dan beress semua  mungkin bisa dicoba twips  di jam jam segitu  cc   
anger,dari sekian banyak thread yang aku baca  thread ini paling aneh sih dalam penulisan  sumpah aneh banget  mau ngatain  lebay  saja segala bikin thread hadeh  aku juga tidak jago nulis  tapi tulisan aku tidak seberantakan thread mbaknya 
happy,sharing sama temen tuhmemangguna banget  disaat kamu ngerasa masalah kamu berat banget ternyata temen kita sendiri punya masalah lebih berat dari kita  malah masalah kita ngga ada apanya dibanding masalah dia 
sadness,orang lain kalau pake ponco itu buat jas hujan  nah dia pake buat kasur  ya tadi gara saking tidak punya apa  mamak bilang  kami tuh di awal pernikan tidak ada ngalamin bulan madu seperti sekarang  orang tidur nya saja pake ponco  gimane mau bulan madu 
anger,contoh mereka yang gemar menyudutkan  teriak paling toleran tapi gemar menuduh  gemar men judge seseorang berdasarkan versi mereka  cukup tau saja 
sadness,pulang udah h  lebaran dilema sekali  seperti tidak bisa melakukan apa dirumah sebelum lebaran  buka puasa bareng cuman  hari sama keluarga begitu juga sahur 
anger,betul min rakyat indonesia sekarang harapan nya tinggal sama tni saja  kalau yang lain lihat saja  sudah jelas penyerangan ke kantor media  katanya tidak ada unsur pidananya  sudah jelas menghina presiden indonesia yang sah  cuma lucu lucu an saja     
anger,kalaupun fansite ngejual hasil jepretan mereka toh uang nya lari ke idol juga  beliin mereka hadiah dsb kan  kpopers baru ya  fansite sudah ada dari jaman kamera belom sebening sekarang 
happy,sangat bersyukur bisa mendoakan kakeknya  bung karno  bersama anak anak yatim piatu           h
sadness,sulit menerima kenyataan memang bahwa ada sebagian yang menganggap ketika kita berinteraksi dengan satu orng dari satu golongan tertentu kita langsung mengatakan golongan tertentu sesaat tanpa kita mempelajari secara utuh dan mengklaim diri kita paling benar 
anger,samanye sudah maling semua tidak si jancok tidak si anjing tidak si siluman monyet hahahahaha satu hati sama sama maling     
anger,ku juga ingin ngamuk bacain komen netizen yang mahabenar  ya lord  tidak abis pikir  komen macem gini yang bikin kasus pelecehan seksual akan tenggelam begitu saja  tidak ada hukuman untuk pelaku  lebih sedihnya  rerata yang komen jahat adalah perempuan  mbaq  kesehatanmu loh    
love,setiap kesempatan yang pernah hadir tuk dapat membuatmu selalu merasa aman dan nyaman  kini jadi suatu kehormatan yang pernah didapat
anger,sedap kali kau ya bobok dikasur ku  aku tidur kau ikut tidur  mau jadi apa kau   bacanya pake logat mamak dahlia di keluarga badak 
happy,h   mau ke bank rame banget sampai antrian tempat duduknya ada diluar  toko emas meluber sampai tidak keliatan mbaknya yang jualan  ke swalayan antrian kasir naudzubilah panjang bener  pada bahagia semua kayaknya  semoga oh semoga rs sepi  pasien pada sembuh dan pulang untuk berbahagia 
anger,benar hancur negara ini dikelola amatiran  tapi kenpak    tidak mengindahkan statementnya sendiri  negara miskin koordinasi  jangan asal gagahan    setalah salah dianulir mana marwahmu wahai mr     presiden    
anger,budayakan mencari dan membaca sebelum nanya ya  udah dijelaskan berkali kok  selama tidak diatur tidak ada ketentuan khusus  pakai aja
sadness,separuh hati ini iri jika melihat seorang anak yang masih bisa duduk atau berjalan bersama ibundanya  dan separuh hati ini turut berempati melihat seorang anak yang begitu gundah saat ibundanya sakit  yang sabar ya kawan  semoga allah memberikan yang terbaik untuk kita semua 
happy,ketika aku tersenyum bukan berarti hidupku sempurna   aku hanya mensyukuri apa yang aku punya dan apa yang telah tuhan berikan untuk ku
sadness,dari mau tidur  tidur  sampai bangun tidur kok yaa seperti ngerasa aneh   tidak enak hati  udah dibawa istighfar masih saja  bangun tidur seperti sedih  seperti mikir tidak puguh  ini kenapa banget coba   
love,kan kupeluk engkau erat hingga tidak ada seorang pun yang bisa merebut mu dari pelukan ku happy anniversary sayang  
anger,kalo mau ganti presiden itu harus jelas siapa calonnya  terus diadu program kerjanya  ini koalisi belum ditentuin bisanya cuman buat kaos dan tagar
happy,sukses dan keren banget dengan no  kualitas bahan krja itu cita pu agar warisan sampai ke cu sukses tims bbpjn barokah terlimpahkan
anger,udah mau sarjana  kali  mbokya mulut nya jangan ketinggalan buat belajar  sekiranya itu tidak perlu diungkapkan  nambah dosa   nyakitin hati orangnya mending diem saja lah  kasian anda nya yang di julidin sama orang 
anger,gimana orang tidak nilai dari jilbab syari tidak nya  kadang gemez sama orang yang dikelas diem saja eh di grup wa bisanya dia nyeletuk mengarah ke social harassment 
fear,hari ini jadwal presentasi proker di lppm  karena ada praktikum jadinya pak ketua di temani sekretaris   tapi selaku penanggung jawab ada di sekretaris  jadi deg deg an ini  bismillah pak ketua  omong-omong pen upload foto pak ketua tapi jangan dulu yaa  
anger,foto saya di instagram masih ada cuma lupa password instanya jadi ngga bisa di buka    ini pasti salah pemerintah dan instagram kenapa sampai pakai password segala    tuh sampai lupa kan aku  
fear,drama kmarin sore   seharian puasa terus pas lagi mandi kaget bcz kedatangan tamu tidak diundang pas banget woi pas lagi adzan maghrib terus jadi galau dong seharian itu dianggap sah puasa apa enggak   
sadness,sungguh mencintaimu berat sekali  berpisah denganmu apalagi        selalu bikin baper tapi sukses melupakan laper    
anger,  pas sudah dikirim kembali  si kurir telp ngeluh dan mager buat nganter ke alamat yang bener  malah minta ketemuan di titik yang dia tau itupun dia tidak mau susah  no puter balik  harus searah sama arah kendaraan dia jalan 
happy,pada akhirnya kita akan melewati semua ini  semua yang dulu kita bayangkan betapa sulitnya  kita lalui juga  di akhir kita hanya bisa belajar  belajar  dan belajar  memetik semua hikmah yang bisa kita petik  mempersiapkan untuk kedepan 
love,kenapa pasangan seringkali diibaratkan sebagai  rumah   karena rasa nyaman bersamanya senyaman berada di rumah  kamu bisa jadi apa saja  kamu selalu pulang menujunya 
fear,ya tau kalau rasa sakit hati memamg sulit  tapi ada kala nya saat di jenjang rumah tangga jangan lah di publikan situasi saat ini   media itu jahat enggak menyelesaikan masalah dengan terlontarnya kata demi kata
happy,ponakan kelas  sd  lagi demen nonton video tutorial masak   craft   youtube  aku kelas  sd  udah baca novel marga t   amp mira aku  minjem punya sepupu
happy,bberapa tahun kemudian kesejahteraan keluarga makmak ini teus meningkat  sampailah suaminya itu dpet pangkat yang tinggi  kurang paham juga tentang pangkatan di tni  pokonya sudah hidup bekecukupan 
sadness,bukan tidak mendukung atau mendoakan  cuma menyikapi apa yang sudah  itu pilihanmu dan berupayalah mempertahankannya   disini aku dari jauh seharusnya bahagia tapi melihatmu sedih kebahagianku pudar   seperti saat kala itu menerima undangan pernikahanmu 
happy,jne jnt selama saya pake entah kirim paket beli olshop jastip dari luar kota sampai beda pulau maksimal  hari sampai mau itu dia pake mobil susah cari alamat bingung tidak bisa masuk kompleks gang meski malem sekalipun dibelain jalan ke rumah sampai paketan terkirim dengan baik 
anger,gemes banget sama orang yang masih menganggap wajar pelecehan sexual secara verbal  mau verbal atau fisik atau apapun  itu tetap tidak dibenarkan 
fear,apa hukumnya bermain musik stad  jelas haroooom hukumnya  berdosa kita memainkannya  begitulah kira kira percakapan yang terjadi antara penanya dan seorang ustad disebuah acara tv yang intronya pake musik  
anger,apa hebatnya mardani  menurut saya oeang ini cuma besar mulut saja faktanya sampai saat ini belum menyebutkan capres lagipula kalau koalisinya hanya pks dan gerindra tidak mungkin lah yaow
sadness,oh iya  ibu nya ngelahirin anak ke  yaitu cewek tapi tidak tahu tahun berapa nya  lanjut yang tadi  baru saja setahun di kasih kenikmatan datang lagi ujian buat si makmak kali ini mungkin berat  dia di tinggal suaminya meninggal  seketika ibu itu jadi singel parent
happy,z suka twitter soalnya perempuan ji semua temanku dsni biar mengomel sampai tablengker ndada bahayanya    bahas  monsteration  juga bebas   bahas nda puasa juga bebas      di wa mau update status streskan  monsteration  kt harus pi dulu blok semua cowo baru mengupdate 
anger,nggak ngerti lagi sama ciwi ciwi yang nyinyirin via vallen ini  dia itu korban loh  sesusah itukah untuk saling support satu sama lain gurlzz 
anger,hari ini libur  rencananya mau nonton jurassic world  tapi kayanya gajadi deh mengingat kondisi yang tidak fit banget ini sebel  rusak rencana sebelanga   sebel akutu
